等级,等级名,悬赏池,入池说明,产物显示名,产物ID,饥饿值,饱和度,效果buff,原料种类数,原料槽位总数,稀有原料数,中间产物原料数,代表机器,代表配方ID,代表配方原料,综合分,分级依据,配方条数,模组,建议难度系数,建议悬赏价值备注,悬赏池文件,悬赏unitWorth
1,T1·简餐基础,排除,非食用,樱花木椅子,kaleidoscope_cookery:chair_cherry,,,,2,2,0,0,工作台,chair_cherry.json,樱花木栅栏(minecraft:cherry_fence)×3 + 樱花木台阶(minecraft:cherry_slab)×3,3.0,简单加工/无食物数据,1,万花筒烹饪,1.0,原料成本×1.0～1.2，铜币档,,
1,T1·简餐基础,排除,非食用,绯红木椅子,kaleidoscope_cookery:chair_crimson,,,,2,2,0,0,工作台,chair_crimson.json,绯红木栅栏(minecraft:crimson_fence)×3 + 绯红木台阶(minecraft:crimson_slab)×3,3.0,简单加工/无食物数据,1,万花筒烹饪,1.0,原料成本×1.0～1.2，铜币档,,
1,T1·简餐基础,排除,非食用,深色橡木椅子,kaleidoscope_cookery:chair_dark_oak,,,,2,2,0,0,工作台,chair_dark_oak.json,深色橡木栅栏(minecraft:dark_oak_fence)×3 + 深色橡木台阶(minecraft:dark_oak_slab)×3,3.0,简单加工/无食物数据,1,万花筒烹饪,1.0,原料成本×1.0～1.2，铜币档,,
1,T1·简餐基础,排除,非食用,丛林木椅子,kaleidoscope_cookery:chair_jungle,,,,2,2,0,0,工作台,chair_jungle.json,丛林木栅栏(minecraft:jungle_fence)×3 + 丛林木台阶(minecraft:jungle_slab)×3,3.0,简单加工/无食物数据,1,万花筒烹饪,1.0,原料成本×1.0～1.2，铜币档,,
1,T1·简餐基础,排除,非食用,红树木椅子,kaleidoscope_cookery:chair_mangrove,,,,2,2,0,0,工作台,chair_mangrove.json,红树木栅栏(minecraft:mangrove_fence)×3 + 红树木台阶(minecraft:mangrove_slab)×3,3.0,简单加工/无食物数据,1,万花筒烹饪,1.0,原料成本×1.0～1.2，铜币档,,
1,T1·简餐基础,排除,非食用,橡木椅子,kaleidoscope_cookery:chair_oak,,,,2,2,0,0,工作台,chair_oak.json,橡木栅栏(minecraft:oak_fence)×3 + 橡木台阶(minecraft:oak_slab)×3,3.0,简单加工/无食物数据,1,万花筒烹饪,1.0,原料成本×1.0～1.2，铜币档,,
1,T1·简餐基础,排除,非食用,云杉木椅子,kaleidoscope_cookery:chair_spruce,,,,2,2,0,0,工作台,chair_spruce.json,云杉木栅栏(minecraft:spruce_fence)×3 + 云杉木台阶(minecraft:spruce_slab)×3,3.0,简单加工/无食物数据,1,万花筒烹饪,1.0,原料成本×1.0～1.2，铜币档,,
1,T1·简餐基础,排除,非食用,诡异木椅子,kaleidoscope_cookery:chair_warped,,,,2,2,0,0,工作台,chair_warped.json,诡异木栅栏(minecraft:warped_fence)×3 + 诡异木台阶(minecraft:warped_slab)×3,3.0,简单加工/无食物数据,1,万花筒烹饪,1.0,原料成本×1.0～1.2，铜币档,,
1,T1·简餐基础,T1菜池,分档菜池,农夫皮靴,kaleidoscope_cookery:farmer_boots,,,,2,2,0,0,工作台,farmer_boots.json,铁锭(#c:ingots/iron)×2 + 皮革(minecraft:leather)×2,3.0,简单加工/无食物数据,1,万花筒烹饪,1.0,原料成本×1.0～1.2，铜币档,,
1,T1·简餐基础,T1菜池,分档菜池,农夫围裙,kaleidoscope_cookery:farmer_chest_plate,,,,2,2,0,0,工作台,farmer_chest_plate.json,铁锭(#c:ingots/iron)×2 + 皮革(minecraft:leather)×6,3.0,简单加工/无食物数据,1,万花筒烹饪,1.0,原料成本×1.0～1.2，铜币档,,
1,T1·简餐基础,T1菜池,分档菜池,农夫长裤,kaleidoscope_cookery:farmer_leggings,,,,2,2,0,0,工作台,farmer_leggings.json,皮革(minecraft:leather)×6 + 铁锭(#c:ingots/iron),3.0,简单加工/无食物数据,1,万花筒烹饪,1.0,原料成本×1.0～1.2，铜币档,,
1,T1·简餐基础,T2菜池,非通用烤熟类,一盘青团,kaleidoscope_cookery:qingtuan_plate,,,,2,5,0,0,工作台,qingtuan_plate.json,青团(kaleidoscope_cookery:qingtuan) + 青团(kaleidoscope_cookery:qingtuan) + 青团(kaleidoscope_cookery:qingtuan) + 青团(kaleidoscope_cookery:qingtuan) + 碗(minecraft:bowl),3.0,简单加工/无食物数据,1,万花筒烹饪,1.0,原料成本×1.0～1.2，铜币档,food_t2_objs,45
1,T1·简餐基础,T1菜池,非通用烤熟类,生面团,kaleidoscope_cookery:raw_dough,,,,2,4,0,1,工作台,wheat_dough_from_egg.json,面粉(kaleidoscope_cookery:flour) + 面粉(kaleidoscope_cookery:flour) + 面粉(kaleidoscope_cookery:flour) + 蛋(#c:eggs),3.0,简单加工/无食物数据,1,农夫乐事,1.0,原料成本×1.0～1.2，铜币档,,
1,T1·简餐基础,T1菜池,非通用烤熟类,生粽子,kaleidoscope_cookery:raw_zongzi,,,,2,2,0,0,工作台,raw_zongzi.json,稻米(kaleidoscope_cookery:rice) + 睡莲(minecraft:lily_pad),3.0,简单加工/无食物数据,1,万花筒烹饪,1.0,原料成本×1.0～1.2，铜币档,,
1,T1·简餐基础,通用池,非通用烤熟类,旋风烤肉塔,kaleidoscope_cookery:shawarma_spit,,,,2,2,0,0,工作台,shawarma_spit.json,锁链(minecraft:chain)×4 + 营火(minecraft:campfire)×2,3.0,简单加工/无食物数据,1,万花筒烹饪,1.0,原料成本×1.0～1.2，铜币档,food_common_objs,19
1,T1·简餐基础,T2菜池,包子链重算 unitWorth=134,一盘水煎包,kaleidoscope_cookery:shengjian_mantou_plate,,,,2,6,0,0,工作台,shengjian_mantou_plate.json,水煎包(kaleidoscope_cookery:shengjian_mantou) + 水煎包(kaleidoscope_cookery:shengjian_mantou) + 水煎包(kaleidoscope_cookery:shengjian_mantou) + 水煎包(kaleidoscope_cookery:shengjian_mantou) + 水煎包(kaleidoscope_cookery:shengjian_mantou) + 碗(minecraft:bowl),3.0,简单加工/无食物数据,1,万花筒烹饪,1.0,原料成本×1.0～1.2，铜币档,food_t2_objs,134
1,T1·简餐基础,T1菜池,分档菜池,蒸笼,kaleidoscope_cookery:steamer,,,,2,2,0,0,工作台,steamer.json,竹活板门(minecraft:bamboo_trapdoor)×3 + 竹块(minecraft:bamboo_block)×3,3.0,简单加工/无食物数据,3,万花筒烹饪,1.0,原料成本×1.0～1.2，铜币档,,
1,T1·简餐基础,T2菜池,非通用烤熟类,一盘牛皮糖,kaleidoscope_cookery:sticky_candy_plate,,,,2,5,0,0,工作台,sticky_candy_plate.json,牛皮糖(kaleidoscope_cookery:sticky_candy) + 牛皮糖(kaleidoscope_cookery:sticky_candy) + 牛皮糖(kaleidoscope_cookery:sticky_candy) + 牛皮糖(kaleidoscope_cookery:sticky_candy) + 碗(minecraft:bowl),3.0,简单加工/无食物数据,1,万花筒烹饪,1.0,原料成本×1.0～1.2，铜币档,food_t2_objs,61
1,T1·简餐基础,T2菜池,非通用烤熟类,一盘糍粑,kaleidoscope_cookery:sticky_rice_cake_plate,,,,2,6,0,0,工作台,sticky_rice_cake_plate.json,糍粑(kaleidoscope_cookery:sticky_rice_cake) + 糍粑(kaleidoscope_cookery:sticky_rice_cake) + 糍粑(kaleidoscope_cookery:sticky_rice_cake) + 糍粑(kaleidoscope_cookery:sticky_rice_cake) + 糍粑(kaleidoscope_cookery:sticky_rice_cake) + 碗(minecraft:bowl),3.0,简单加工/无食物数据,1,万花筒烹饪,1.0,原料成本×1.0～1.2，铜币档,food_t2_objs,50
1,T1·简餐基础,T1菜池,非通用烤熟类,汤锅,kaleidoscope_cookery:stockpot,,,,2,2,0,0,工作台,stockpot.json,红砖(minecraft:brick)×2 + 铁锭(#c:ingots/iron)×5,3.0,简单加工/无食物数据,1,万花筒烹饪,1.0,原料成本×1.0～1.2，铜币档,,
1,T1·简餐基础,T1菜池,非通用烤熟类,汤锅盖,kaleidoscope_cookery:stockpot_lid,,,,2,2,0,0,工作台,stockpot_lid.json,红砖(minecraft:brick) + 铁锭(#c:ingots/iron)×3,3.0,简单加工/无食物数据,1,万花筒烹饪,1.0,原料成本×1.0～1.2，铜币档,,
1,T1·简餐基础,T1菜池,分档菜池,炉灶,kaleidoscope_cookery:stove,,,,2,2,0,0,工作台,stove_campfire.json,圆石(#c:cobblestones)×8 + 营火(minecraft:campfire),3.0,简单加工/无食物数据,2,万花筒烹饪,1.0,原料成本×1.0～1.2，铜币档,,
1,T1·简餐基础,T1菜池,分档菜池,草帽,kaleidoscope_cookery:straw_hat,,,,2,2,0,0,工作台,straw_hat.json,小麦(minecraft:wheat)×4 + 线(minecraft:string),3.0,简单加工/无食物数据,1,万花筒烹饪,1.0,原料成本×1.0～1.2，铜币档,,
1,T1·简餐基础,T1菜池,分档菜池,缀花草帽,kaleidoscope_cookery:straw_hat_flower,,,,2,2,0,0,工作台,straw_hat_flower.json,花(#minecraft:flowers)×8 + 草帽(kaleidoscope_cookery:straw_hat),3.0,简单加工/无食物数据,1,万花筒烹饪,1.0,原料成本×1.0～1.2，铜币档,,
1,T1·简餐基础,T1菜池,分档菜池,金合欢木餐桌,kaleidoscope_cookery:table_acacia,,,,2,2,0,0,工作台,table_acacia.json,金合欢木台阶(minecraft:acacia_slab)×3 + 金合欢木栅栏(minecraft:acacia_fence)×2,3.0,简单加工/无食物数据,1,万花筒烹饪,1.0,原料成本×1.0～1.2，铜币档,,
1,T1·简餐基础,T1菜池,分档菜池,竹餐桌,kaleidoscope_cookery:table_bamboo,,,,2,2,0,0,工作台,table_bamboo.json,竹台阶(minecraft:bamboo_slab)×3 + 竹块(minecraft:bamboo_block)×2,3.0,简单加工/无食物数据,1,万花筒烹饪,1.0,原料成本×1.0～1.2，铜币档,,
1,T1·简餐基础,T1菜池,分档菜池,白桦木餐桌,kaleidoscope_cookery:table_birch,,,,2,2,0,0,工作台,table_birch.json,白桦木台阶(minecraft:birch_slab)×3 + 白桦木栅栏(minecraft:birch_fence)×2,3.0,简单加工/无食物数据,1,万花筒烹饪,1.0,原料成本×1.0～1.2，铜币档,,
1,T1·简餐基础,T1菜池,分档菜池,樱花木餐桌,kaleidoscope_cookery:table_cherry,,,,2,2,0,0,工作台,table_cherry.json,樱花木台阶(minecraft:cherry_slab)×3 + 樱花木栅栏(minecraft:cherry_fence)×2,3.0,简单加工/无食物数据,1,万花筒烹饪,1.0,原料成本×1.0～1.2，铜币档,,
1,T1·简餐基础,T1菜池,分档菜池,绯红木餐桌,kaleidoscope_cookery:table_crimson,,,,2,2,0,0,工作台,table_crimson.json,绯红木台阶(minecraft:crimson_slab)×3 + 绯红木栅栏(minecraft:crimson_fence)×2,3.0,简单加工/无食物数据,1,万花筒烹饪,1.0,原料成本×1.0～1.2，铜币档,,
1,T1·简餐基础,T1菜池,分档菜池,深色橡木餐桌,kaleidoscope_cookery:table_dark_oak,,,,2,2,0,0,工作台,table_dark_oak.json,深色橡木台阶(minecraft:dark_oak_slab)×3 + 深色橡木栅栏(minecraft:dark_oak_fence)×2,3.0,简单加工/无食物数据,1,万花筒烹饪,1.0,原料成本×1.0～1.2，铜币档,,
1,T1·简餐基础,T1菜池,分档菜池,丛林木餐桌,kaleidoscope_cookery:table_jungle,,,,2,2,0,0,工作台,table_jungle.json,丛林木台阶(minecraft:jungle_slab)×3 + 丛林木栅栏(minecraft:jungle_fence)×2,3.0,简单加工/无食物数据,1,万花筒烹饪,1.0,原料成本×1.0～1.2，铜币档,,
1,T1·简餐基础,T1菜池,分档菜池,红树木餐桌,kaleidoscope_cookery:table_mangrove,,,,2,2,0,0,工作台,table_mangrove.json,红树木台阶(minecraft:mangrove_slab)×3 + 红树木栅栏(minecraft:mangrove_fence)×2,3.0,简单加工/无食物数据,1,万花筒烹饪,1.0,原料成本×1.0～1.2，铜币档,,
1,T1·简餐基础,T1菜池,分档菜池,橡木餐桌,kaleidoscope_cookery:table_oak,,,,2,2,0,0,工作台,table_oak.json,橡木台阶(minecraft:oak_slab)×3 + 橡木栅栏(minecraft:oak_fence)×2,3.0,简单加工/无食物数据,1,万花筒烹饪,1.0,原料成本×1.0～1.2，铜币档,,
1,T1·简餐基础,T1菜池,分档菜池,云杉木餐桌,kaleidoscope_cookery:table_spruce,,,,2,2,0,0,工作台,table_spruce.json,云杉木台阶(minecraft:spruce_slab)×3 + 云杉木栅栏(minecraft:spruce_fence)×2,3.0,简单加工/无食物数据,1,万花筒烹饪,1.0,原料成本×1.0～1.2，铜币档,,
1,T1·简餐基础,T1菜池,分档菜池,诡异木餐桌,kaleidoscope_cookery:table_warped,,,,2,2,0,0,工作台,table_warped.json,诡异木台阶(minecraft:warped_slab)×3 + 诡异木栅栏(minecraft:warped_fence)×2,3.0,简单加工/无食物数据,1,万花筒烹饪,1.0,原料成本×1.0～1.2，铜币档,,
1,T1·简餐基础,T1菜池,非通用烤熟类,茶壶,kaleidoscope_cookery:teapot,,,,2,2,0,0,工作台,teapot.json,铜锭(#c:ingots/copper)×6 + 桶(minecraft:bucket),3.0,简单加工/无食物数据,1,万花筒烹饪,1.0,原料成本×1.0～1.2，铜币档,,
1,T1·简餐基础,通用池,非食用,番茄拼盘,kaleidoscope_cookery:tomato_platter,,,,2,6,0,0,工作台,tomato_platter.json,番茄(kaleidoscope_cookery:tomato) + 番茄(kaleidoscope_cookery:tomato) + 番茄(kaleidoscope_cookery:tomato) + 番茄(kaleidoscope_cookery:tomato) + 番茄(kaleidoscope_cookery:tomato) + 碗(minecraft:bowl),3.0,简单加工/无食物数据,1,万花筒烹饪,1.0,原料成本×1.0～1.2，铜币档,food_common_objs,34
1,T1·简餐基础,T1菜池,分档菜池,垃圾桶,kaleidoscope_cookery:trash_can,,,,2,2,0,0,工作台,trash_can.json,铁锭(#c:ingots/iron)×8 + 堆肥桶(minecraft:composter),3.0,简单加工/无食物数据,1,万花筒烹饪,1.0,原料成本×1.0～1.2，铜币档,,
1,T1·简餐基础,通用池,分档菜池,西瓜拼盘,kaleidoscope_cookery:watermelon_platter,,,,2,4,0,0,工作台,watermelon_platter.json,西瓜片(minecraft:melon_slice) + 西瓜片(minecraft:melon_slice) + 西瓜片(minecraft:melon_slice) + 碗(minecraft:bowl),3.0,简单加工/无食物数据,1,万花筒烹饪,1.0,原料成本×1.0～1.2，铜币档,food_common_objs,12
1,T1·简餐基础,T2菜池,非通用烤熟类,一盘粽子,kaleidoscope_cookery:zongzi_plate,,,,2,5,0,0,工作台,zongzi_plate.json,熟粽子(kaleidoscope_cookery:zongzi) + 熟粽子(kaleidoscope_cookery:zongzi) + 熟粽子(kaleidoscope_cookery:zongzi) + 熟粽子(kaleidoscope_cookery:zongzi) + 碗(minecraft:bowl),3.0,简单加工/无食物数据,1,万花筒烹饪,1.0,原料成本×1.0～1.2，铜币档,food_t2_objs,66
1,T1·简餐基础,T1菜池,分档菜池,书,minecraft:book,,,,2,4,0,0,工作台,book_from_canvas.json,纸(minecraft:paper) + 纸(minecraft:paper) + 纸(minecraft:paper) + 粗布(farmersdelight:canvas),3.0,简单加工/无食物数据,1,农夫乐事,1.0,原料成本×1.0～1.2，铜币档,,
1,T1·简餐基础,T1菜池,分档菜池,奶桶,minecraft:milk_bucket,,,,2,5,0,0,工作台,milk_bucket_from_bottles.json,桶(minecraft:bucket) + 奶瓶(farmersdelight:milk_bottle) + 奶瓶(farmersdelight:milk_bottle) + 奶瓶(farmersdelight:milk_bottle) + 奶瓶(farmersdelight:milk_bottle),3.0,简单加工/无食物数据,1,农夫乐事,1.0,原料成本×1.0～1.2，铜币档,,
1,T1·简餐基础,T1菜池,分档菜池,蘑菇煲,minecraft:mushroom_stew,,,,2,2,0,0,"厨锅(烹饪锅,置于炉灶上)",cooking/mushroom_stew.json,棕色蘑菇(minecraft:brown_mushroom) + 红色蘑菇(minecraft:red_mushroom),3.0,简单加工/无食物数据,1,农夫乐事,1.0,原料成本×1.0～1.2，铜币档,,
1,T1·简餐基础,T1菜池,分档菜池,泥坯,minecraft:packed_mud,,,,2,3,0,0,工作台,packed_mud_from_straw.json,草秆(farmersdelight:straw) + 泥巴(minecraft:mud) + 泥巴(minecraft:mud),3.0,简单加工/无食物数据,1,农夫乐事,1.0,原料成本×1.0～1.2，铜币档,,
1,T1·简餐基础,T1菜池,分档菜池,画,minecraft:painting,,,,2,2,0,0,工作台,painting_from_canvas.json,木棍(minecraft:stick)×8 + 粗布(farmersdelight:canvas),3.0,简单加工/无食物数据,1,农夫乐事,1.0,原料成本×1.0～1.2，铜币档,,
1,T1·简餐基础,T1菜池,分档菜池,脚手架,minecraft:scaffolding,,,,2,2,0,0,工作台,scaffolding_from_canvas.json,竹子(minecraft:bamboo)×6 + 粗布(farmersdelight:canvas),3.0,简单加工/无食物数据,1,农夫乐事,1.0,原料成本×1.0～1.2，铜币档,,
1,T1·简餐基础,通用池,非通用烤熟类,苹果派切片,farmersdelight:apple_pie_slice,,,,1,1,0,0,菜板,chopping_board/add/apple_pie_slice.json,苹果派(farmersdelight:apple_pie),1.5,简单加工/无食物数据,2,农夫乐事(万花筒机器),1.0,原料成本×1.0～1.2，铜币档,food_common_objs,9
1,T1·简餐基础,排除,非食用,箱装甜菜根,farmersdelight:beetroot_crate,,,,1,1,0,0,工作台,beetroot_crate.json,甜菜根(minecraft:beetroot)×9,1.5,简单加工/无食物数据,1,农夫乐事,1.0,原料成本×1.0～1.2，铜币档,,
1,T1·简餐基础,排除,非食用,箱装卷心菜,farmersdelight:cabbage_crate,,,,1,1,0,0,工作台,cabbage_crate.json,卷心菜(farmersdelight:cabbage)×9,1.5,简单加工/无食物数据,1,农夫乐事,1.0,原料成本×1.0～1.2，铜币档,,
1,T1·简餐基础,排除,非食用,粗布,farmersdelight:canvas,,,,1,1,0,0,工作台,canvas.json,草秆(farmersdelight:straw)×4,1.5,简单加工/无食物数据,2,农夫乐事,1.0,原料成本×1.0～1.2，铜币档,,
1,T1·简餐基础,排除,非食用,粗布毯,farmersdelight:canvas_rug,,,,1,1,0,0,工作台,canvas_rug.json,粗布(farmersdelight:canvas),1.5,简单加工/无食物数据,1,农夫乐事,1.0,原料成本×1.0～1.2，铜币档,,
1,T1·简餐基础,排除,非食用,箱装胡萝卜,farmersdelight:carrot_crate,,,,1,1,0,0,工作台,carrot_crate.json,胡萝卜(minecraft:carrot)×9,1.5,简单加工/无食物数据,1,农夫乐事,1.0,原料成本×1.0～1.2，铜币档,,
1,T1·简餐基础,通用池,非通用烤熟类,巧克力派切片,farmersdelight:chocolate_pie_slice,,,,1,1,0,0,菜板,chopping_board/add/chocolate_pie_slice.json,巧克力派(farmersdelight:chocolate_pie),1.5,简单加工/无食物数据,2,农夫乐事(万花筒机器),1.0,原料成本×1.0～1.2，铜币档,food_common_objs,10
1,T1·简餐基础,排除,非食用,长榻榻米垫,farmersdelight:full_tatami_mat,,,,1,1,0,0,工作台,full_tatami_mat.json,榻榻米方块(farmersdelight:tatami),1.5,简单加工/无食物数据,2,农夫乐事,1.0,原料成本×1.0～1.2，铜币档,,
1,T1·简餐基础,排除,非食用,短榻榻米垫,farmersdelight:half_tatami_mat,,,,1,1,0,0,工作台,half_tatami_mat.json,长榻榻米垫(farmersdelight:full_tatami_mat),1.5,简单加工/无食物数据,1,农夫乐事,1.0,原料成本×1.0～1.2，铜币档,,
1,T1·简餐基础,排除,非食用,箱装洋葱,farmersdelight:onion_crate,,,,1,1,0,0,工作台,onion_crate.json,洋葱(farmersdelight:onion)×9,1.5,简单加工/无食物数据,1,农夫乐事,1.0,原料成本×1.0～1.2，铜币档,,
1,T1·简餐基础,排除,非食用,箱装马铃薯,farmersdelight:potato_crate,,,,1,1,0,0,工作台,potato_crate.json,马铃薯(minecraft:potato)×9,1.5,简单加工/无食物数据,1,农夫乐事,1.0,原料成本×1.0～1.2，铜币档,,
1,T1·简餐基础,通用池,非通用烤熟类,南瓜派切片,farmersdelight:pumpkin_pie_slice,,,,1,1,0,1,砧板,cutting/pumpkin_pie.json,南瓜派(minecraft:pumpkin_pie),1.5,简单加工/无食物数据,1,农夫乐事,1.0,原料成本×1.0～1.2，铜币档,food_common_objs,9
1,T1·简餐基础,T1菜池,非通用烤熟类,袋装稻米,farmersdelight:rice_bag,,,,1,1,0,0,工作台,rice_bag.json,稻米(kaleidoscope_cookery:rice)×9,1.5,简单加工/无食物数据,1,农夫乐事,1.0,原料成本×1.0～1.2，铜币档,,
1,T1·简餐基础,T1菜池,非通用烤熟类,稻穗捆,farmersdelight:rice_bale,,,,1,1,0,0,工作台,rice_bale.json,稻穗(kaleidoscope_cookery:rice_panicle)×9,1.5,简单加工/无食物数据,1,农夫乐事,1.0,原料成本×1.0～1.2，铜币档,,
1,T1·简餐基础,排除,非食用,绳子,farmersdelight:rope,,,,1,1,0,0,工作台,rope.json,草秆(farmersdelight:straw)×2,1.5,简单加工/无食物数据,2,农夫乐事,1.0,原料成本×1.0～1.2，铜币档,,
1,T1·简餐基础,排除,非食用,安全网,farmersdelight:safety_net,,,,1,1,0,0,工作台,safety_net.json,绳子(farmersdelight:rope)×4,1.5,简单加工/无食物数据,1,农夫乐事,1.0,原料成本×1.0～1.2，铜币档,,
1,T1·简餐基础,T1菜池,分档菜池,草秆,farmersdelight:straw,,,,1,1,0,0,工作台,straw.json,草捆(farmersdelight:straw_bale),1.5,简单加工/无食物数据,6,农夫乐事,1.0,原料成本×1.0～1.2，铜币档,,
1,T1·简餐基础,T1菜池,非通用烤熟类,草捆,farmersdelight:straw_bale,,,,1,1,0,0,工作台,straw_bale.json,草秆(farmersdelight:straw)×9,1.5,简单加工/无食物数据,1,农夫乐事,1.0,原料成本×1.0～1.2，铜币档,,
1,T1·简餐基础,通用池,非通用烤熟类,甜浆果芝士派切片,farmersdelight:sweet_berry_cheesecake_slice,,,,1,1,0,1,菜板,chopping_board/add/sweet_berry_cheesecake_slice.json,甜浆果芝士派(farmersdelight:sweet_berry_cheesecake),1.5,简单加工/无食物数据,2,农夫乐事(万花筒机器),1.0,原料成本×1.0～1.2，铜币档,food_common_objs,10
1,T1·简餐基础,排除,非食用,箱装番茄,farmersdelight:tomato_crate,,,,1,1,0,0,工作台,tomato_crate.json,番茄(kaleidoscope_cookery:tomato)×9,1.5,简单加工/无食物数据,1,农夫乐事,1.0,原料成本×1.0～1.2，铜币档,,
1,T1·简餐基础,排除,非食用,去皮丛林木,farmersdelight:tree_bark,,,,1,1,0,0,砧板,cutting/jungle_wood.json,丛林木(minecraft:jungle_wood),1.5,简单加工/无食物数据,20,农夫乐事,1.0,原料成本×1.0～1.2，铜币档,,
1,T1·简餐基础,通用池,非通用烤熟类,大麦茶,kaleidoscope_cookery:barley_tea,,,,1,1,0,0,茶壶,teapot/barley_tea.json,小麦种子(minecraft:wheat_seeds),1.5,简单加工/无食物数据,1,万花筒烹饪,1.0,原料成本×1.0～1.2，铜币档,food_common_objs,10
1,T1·简餐基础,T1菜池,分档菜池,碧螺春,kaleidoscope_cookery:biluochun,,,,1,1,0,0,茶壶,teapot/biluochun.json,鹦鹉螺壳(minecraft:nautilus_shell),1.5,简单加工/无食物数据,1,万花筒烹饪,1.0,原料成本×1.0～1.2，铜币档,,
1,T1·简餐基础,T1菜池,非通用烤熟类,辣椒串串,kaleidoscope_cookery:chili_ristra,,,,1,1,0,0,工作台,chili_ristra.json,红辣椒(kaleidoscope_cookery:red_chili)×6,1.5,简单加工/无食物数据,1,万花筒烹饪,1.0,原料成本×1.0～1.2，铜币档,,
1,T1·简餐基础,T1菜池,分档菜池,菜板,kaleidoscope_cookery:chopping_board,,,,1,1,0,0,工作台,chopping_board.json,木压力板(#minecraft:wooden_pressure_plates)×6,1.5,简单加工/无食物数据,1,万花筒烹饪,1.0,原料成本×1.0～1.2，铜币档,,
1,T1·简餐基础,T1菜池,非通用烤熟类,空茶杯,kaleidoscope_cookery:empty_cup,,,,1,1,0,0,工作台,empty_cup.json,花盆(minecraft:flower_pot),1.5,简单加工/无食物数据,1,万花筒烹饪,1.0,原料成本×1.0～1.2，铜币档,,
1,T1·简餐基础,T1菜池,分档菜池,面粉,kaleidoscope_cookery:flour,,,,1,1,0,0,石磨,millstone/flour_from_wheat.json,小麦(minecraft:wheat),1.5,简单加工/无食物数据,1,万花筒烹饪,1.0,原料成本×1.0～1.2，铜币档,,
1,T1·简餐基础,通用池,非通用烤熟类,花茶,kaleidoscope_cookery:flower_tea,,,,1,1,0,0,茶壶,teapot/flower_tea.json,小花(#minecraft:small_flowers),1.5,简单加工/无食物数据,1,万花筒烹饪,1.0,原料成本×1.0～1.2，铜币档,food_common_objs,12
1,T1·简餐基础,T1菜池,分档菜池,油脂,kaleidoscope_cookery:oil,,,,1,1,0,0,石磨,millstone/oil_from_seeds.json,种子(#c:seeds),1.5,简单加工/无食物数据,2,万花筒烹饪,1.0,原料成本×1.0～1.2，铜币档,,
1,T1·简餐基础,T1菜池,分档菜池,油脂块,kaleidoscope_cookery:oil_block,,,,1,1,0,1,工作台,oil_block.json,油脂(kaleidoscope_cookery:oil)×9,1.5,简单加工/无食物数据,1,万花筒烹饪,1.0,原料成本×1.0～1.2，铜币档,,
1,T1·简餐基础,T1菜池,分档菜池,炒锅,kaleidoscope_cookery:pot,,,,1,1,0,0,工作台,pot.json,铁锭(#c:ingots/iron)×7,1.5,简单加工/无食物数据,1,万花筒烹饪,1.0,原料成本×1.0～1.2，铜币档,,
1,T1·简餐基础,T1菜池,非通用烤熟类,生面条,kaleidoscope_cookery:raw_noodles,,,,1,1,0,1,菜板,chopping_board/raw_noodles_from_raw_dough.json,面团(#c:dough),1.5,简单加工/无食物数据,1,万花筒烹饪,1.0,原料成本×1.0～1.2，铜币档,,
1,T1·简餐基础,T1菜池,分档菜池,模组占位物品,kaleidoscope_cookery:recipe_item,,,,1,1,0,0,工作台,recipe_item.json,纸(minecraft:paper)×4,1.5,简单加工/无食物数据,1,万花筒烹饪,1.0,原料成本×1.0～1.2，铜币档,,
1,T1·简餐基础,T1菜池,分档菜池,稻米,kaleidoscope_cookery:rice,,,,1,1,0,0,石磨,millstone/rice_from_rice_panicle.json,稻穗(kaleidoscope_cookery:rice_panicle),1.5,简单加工/无食物数据,2,万花筒烹饪,1.0,原料成本×1.0～1.2，铜币档,,
1,T1·简餐基础,T1菜池,分档菜池,稻穗,kaleidoscope_cookery:rice_panicle,,,,1,1,0,0,工作台,rice_panicle.json,稻穗捆(farmersdelight:rice_bale),1.5,简单加工/无食物数据,2,农夫乐事,1.0,原料成本×1.0～1.2，铜币档,,
1,T1·简餐基础,T1菜池,分档菜池,樱吹雪,kaleidoscope_cookery:sakura_fubuki,,,,1,1,0,0,茶壶,teapot/sakura_fubuki.json,粉红色花瓣(minecraft:pink_petals),1.5,简单加工/无食物数据,1,万花筒烹饪,1.0,原料成本×1.0～1.2，铜币档,,
1,T1·简餐基础,T1菜池,非通用烤熟类,稻草捆,kaleidoscope_cookery:straw_block,,,,1,1,0,0,工作台,straw_block.json,稻穗(kaleidoscope_cookery:rice_panicle)×9,1.5,简单加工/无食物数据,1,万花筒烹饪,1.0,原料成本×1.0～1.2，铜币档,,
1,T1·简餐基础,T1菜池,非通用烤熟类,蘑菇串串,kaleidoscope_cookery:strung_mushrooms,,,,1,1,0,0,工作台,strung_mushrooms.json,棕色蘑菇(minecraft:brown_mushroom)×6,1.5,简单加工/无食物数据,1,万花筒烹饪,1.0,原料成本×1.0～1.2，铜币档,,
1,T1·简餐基础,T1菜池,分档菜池,铁观音,kaleidoscope_cookery:tieguanyin,,,,1,1,0,0,茶壶,teapot/tieguanyin.json,铁粒(minecraft:iron_nugget),1.5,简单加工/无食物数据,1,万花筒烹饪,1.0,原料成本×1.0～1.2，铜币档,,
